CONTRACT_ID,PLAYER_ID,FULL_NAME,DPM,SIGNING_DATE,SIGNING_TEAM_ID,TEAM_FULL_NAME,CONTRACT_CAP_SALARY,CONTRACT_TAX_SALARY,TOTAL_SALARY,OVERALL_PROTECTION_COVERAGE_LK,SKILL_PROTECTION_AMOUNT,SALARY_YEAR,OPTION_LK,CONTRACT_TYPE_LK,CONTRACT_LENGTH
99065,384303,Spencer Dinwiddie,-0.05073450575,2024-08-03,20,Dallas Mavericks,2087519,2087519,3303771,FULL,3303771,2024,NONE,REGCT,1
99061,557076,TyTy Washington Jr.,-3.108664519,2024-08-02,34,Phoenix Suns,0,0,0,NONE,0,2024,NONE,2WCT,1
99063,469069,Bruno Fernando,-1.475968321,2024-08-02,39,Toronto Raptors,2087519,2087519,2425403,NOCND,0,2024,NONE,REGCT,1
99060,462395,Jarrett Allen,2.126456167,2024-08-02,17,Cleveland Cavaliers,28000000,28000000,28000000,FULL,28000000,2026,NONE,VETEX,3
99060,462395,Jarrett Allen,2.126456167,2024-08-02,17,Cleveland Cavaliers,30240000,30240000,30240000,FULL,30240000,2027,NONE,VETEX,3
99060,462395,Jarrett Allen,2.126456167,2024-08-02,17,Cleveland Cavaliers,32480000,32480000,32480000,FULL,32480000,2028,NONE,VETEX,3
99059,470227,Chuma Okeke,-1.069855407,2024-08-01,30,New York Knicks,2087519,2087519,2237691,NONE,0,2024,NONE,SUMM,1
99057,518875,Moussa Diabate,-0.113581658,2024-07-31,44,Charlotte Hornets,0,0,0,PART,77500,2024,NONE,2WCT,1
99056,462037,Devonte' Graham,-0.8905803922,2024-07-31,35,Portland Trail Blazers,2087519,2087519,2613120,NONE,0,2024,NONE,SUMM,1
99058,439957,Luke Kennard,-0.2187931461,2024-07-31,41,Memphis Grizzlies,9250000,9250000,9250000,FULL,9250000,2024,NONE,REGCT,1
99054,599964,Dominick Barlow,-1.864752848,2024-07-30,15,Atlanta Hawks,0,0,0,PTCND,77500,2024,NONE,2WCT,1
